track_name,track_id,track_duration,track_popularity,track_url,track_uri,track_danceability,track_energy,track_key,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature
ALAKRAN,2Yc3MHpZ9R5UCIz78E20AQ,90.613,75,https://open.spotify.com/track/2Yc3MHpZ9R5UCIz78E20AQ,spotify:track:2Yc3MHpZ9R5UCIz78E20AQ,0.633,0.692,7,-3.085,0.0721,0.039,4.09e-05,0.118,0.319,98.088,4
50 PALOS,2FhmPPAersOD9YcQ9v8upy,167.24,73,https://open.spotify.com/track/2FhmPPAersOD9YcQ9v8upy,spotify:track:2FhmPPAersOD9YcQ9v8upy,0.669,0.719,10,-2.032,0.069,0.0942,2.41e-06,0.243,0.666,93.932,4
LA VUELTA,01W6syCgxisKd0gDqFRdEG,121.92,75,https://open.spotify.com/track/01W6syCgxisKd0gDqFRdEG,spotify:track:01W6syCgxisKd0gDqFRdEG,0.824,0.835,1,-3.928,0.288,0.0416,2.52e-06,0.122,0.323,93.932,4
CUAL ES ESA,05sO6FK8E9l2cfwnEUTjHq,172.506,74,https://open.spotify.com/track/05sO6FK8E9l2cfwnEUTjHq,spotify:track:05sO6FK8E9l2cfwnEUTjHq,0.481,0.916,6,-4.483,0.194,0.0179,0.0,0.121,0.714,95.998,4
INTERLUDE,7ukSaEUWOKy6EH0ydS30m3,103.373,70,https://open.spotify.com/track/7ukSaEUWOKy6EH0ydS30m3,spotify:track:7ukSaEUWOKy6EH0ydS30m3,0.331,0.265,11,-12.168,0.0324,0.685,0.131,0.707,0.221,141.483,4
LUNA,7bywjHOc0wSjGGbj04XbVi,196.8,76,https://open.spotify.com/track/7bywjHOc0wSjGGbj04XbVi,spotify:track:7bywjHOc0wSjGGbj04XbVi,0.86,0.774,7,-2.888,0.13,0.131,0.0,0.116,0.446,100.019,4
ESQUIRLA,646hgiXWSjmGUwQmp4HiZz,147.6,72,https://open.spotify.com/track/646hgiXWSjmGUwQmp4HiZz,spotify:track:646hgiXWSjmGUwQmp4HiZz,0.694,0.79,11,-3.135,0.0328,0.103,1.45e-06,0.314,0.695,99.957,4
DESQUITE,3kAURWHIN3R9qUP0h4FOUw,133.546,73,https://open.spotify.com/track/3kAURWHIN3R9qUP0h4FOUw,spotify:track:3kAURWHIN3R9qUP0h4FOUw,0.714,0.729,5,-3.716,0.0654,0.0465,0.0,0.12,0.868,179.942,4
YO AK,5ktB9kTVHGFSMdJ2G0WdhN,205.066,71,https://open.spotify.com/track/5ktB9kTVHGFSMdJ2G0WdhN,spotify:track:5ktB9kTVHGFSMdJ2G0WdhN,0.705,0.778,1,-4.565,0.0649,0.125,1.26e-06,0.0811,0.591,90.964,4
CLASSY 101,1hZsWUnLbqRw09jLAMQSsb,195.586,70,https://open.spotify.com/track/1hZsWUnLbqRw09jLAMQSsb,spotify:track:1hZsWUnLbqRw09jLAMQSsb,0.665,0.858,11,-4.772,0.152,0.126,0.0,0.119,0.659,100.09,4
FERXXO 30,2LWM5Ft0TdX24GeSq1u6PV,173.76,81,https://open.spotify.com/track/2LWM5Ft0TdX24GeSq1u6PV,spotify:track:2LWM5Ft0TdX24GeSq1u6PV,0.637,0.765,2,-5.291,0.0807,0.0477,1.34e-06,0.0578,0.508,89.968,4
VOL 2,1TNSlRzSRjDeMJQQ2KzBQ4,70.573,66,https://open.spotify.com/track/1TNSlRzSRjDeMJQQ2KzBQ4,spotify:track:1TNSlRzSRjDeMJQQ2KzBQ4,0.416,0.466,11,-7.926,0.056,0.599,0.0,0.163,0.29,135.504,4
VENTE CONMIGO,7LAJlPa6xn5BWKuOFXLDvh,185.973,69,https://open.spotify.com/track/7LAJlPa6xn5BWKuOFXLDvh,spotify:track:7LAJlPa6xn5BWKuOFXLDvh,0.777,0.869,4,-3.475,0.123,0.0056,5.03e-05,0.0577,0.706,116.037,4
