track_name,track_id,track_duration,track_popularity,track_url,track_uri,track_danceability,track_energy,track_key,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature
BICHOTAG,5CQXesQM39J0CBnY0Npp6S,133.977,69,https://open.spotify.com/track/5CQXesQM39J0CBnY0Npp6S,spotify:track:5CQXesQM39J0CBnY0Npp6S,0.411,0.763,5,-8.339,0.211,0.0594,5.35e-05,0.0912,0.461,75.029,4
OKI DOKI,601dhwn8qc31FrSlMu5wEf,143.789,83,https://open.spotify.com/track/601dhwn8qc31FrSlMu5wEf,spotify:track:601dhwn8qc31FrSlMu5wEf,0.753,0.835,2,-4.167,0.0521,0.204,0.000186,0.384,0.583,105.982,4
MI EX TENÍA RAZÓN,7mLPSkAJraASgNk6ywyTkp,154.374,81,https://open.spotify.com/track/7mLPSkAJraASgNk6ywyTkp,spotify:track:7mLPSkAJraASgNk6ywyTkp,0.725,0.634,0,-4.88,0.0577,0.0754,0.0,0.208,0.845,159.898,4
S91,6NlJtxTYtt0b8tY2IAZDAV,173.005,70,https://open.spotify.com/track/6NlJtxTYtt0b8tY2IAZDAV,spotify:track:6NlJtxTYtt0b8tY2IAZDAV,0.72,0.856,0,-4.946,0.215,0.631,1.33e-05,0.0901,0.385,128.155,4
QLONA,3XB5uhhlYSnkxpSihkNQwh,172.797,88,https://open.spotify.com/track/3XB5uhhlYSnkxpSihkNQwh,spotify:track:3XB5uhhlYSnkxpSihkNQwh,0.756,0.842,7,-7.409,0.338,0.525,2.21e-06,0.0871,0.421,169.925,4
UNA NOCHE EN MEDELLÍN - REMIX,6ejks4eS7DOoYW8hrpRcDV,205.144,80,https://open.spotify.com/track/6ejks4eS7DOoYW8hrpRcDV,spotify:track:6ejks4eS7DOoYW8hrpRcDV,0.764,0.843,10,-2.494,0.0741,0.0356,0.0,0.0448,0.872,96.025,4
ME TENGO QUE IR,5AwdJhVYK64TDpfdRa1DyN,276.904,70,https://open.spotify.com/track/5AwdJhVYK64TDpfdRa1DyN,spotify:track:5AwdJhVYK64TDpfdRa1DyN,0.632,0.772,3,-5.103,0.0317,0.231,0.00609,0.114,0.753,136.978,4
GATITA GANGSTER,7gUtEoYJcPnhF4bJAJ3O8q,170.92,70,https://open.spotify.com/track/7gUtEoYJcPnhF4bJAJ3O8q,spotify:track:7gUtEoYJcPnhF4bJAJ3O8q,0.548,0.843,10,-5.153,0.124,0.156,1.55e-06,0.0957,0.509,96.963,4
DISPO,4iGQ8o9Ih6J1OuDDGCXSCL,193.961,81,https://open.spotify.com/track/4iGQ8o9Ih6J1OuDDGCXSCL,spotify:track:4iGQ8o9Ih6J1OuDDGCXSCL,0.64,0.832,0,-3.085,0.0483,0.466,0.0,0.123,0.645,93.946,4
PROVENZA - REMIX,7DmP5W2DbhXC7uKYbYXtIm,187.67,66,https://open.spotify.com/track/7DmP5W2DbhXC7uKYbYXtIm,spotify:track:7DmP5W2DbhXC7uKYbYXtIm,0.871,0.778,1,-3.179,0.0413,0.00528,0.000337,0.138,0.555,128.016,4
MIENTRAS ME CURO DEL CORA,6otePxalBK8AVa20xhZYVQ,164.386,85,https://open.spotify.com/track/6otePxalBK8AVa20xhZYVQ,spotify:track:6otePxalBK8AVa20xhZYVQ,0.477,0.523,0,-6.786,0.392,0.855,0.0,0.146,0.57,79.921,4
X SI VOLVEMOS,4NoOME4Dhf4xgxbHDT7VGe,200.12,84,https://open.spotify.com/track/4NoOME4Dhf4xgxbHDT7VGe,spotify:track:4NoOME4Dhf4xgxbHDT7VGe,0.807,0.794,1,-3.447,0.326,0.334,0.0,0.104,0.575,178.003,4
PERO TÚ,1dw7qShk971xMD6r6mA4VN,183.48,79,https://open.spotify.com/track/1dw7qShk971xMD6r6mA4VN,spotify:track:1dw7qShk971xMD6r6mA4VN,0.79,0.861,6,-4.561,0.291,0.394,0.0,0.111,0.681,139.845,4
BESTIES,7eTv2OTr3aY5iKtFdBusoA,162.146,72,https://open.spotify.com/track/7eTv2OTr3aY5iKtFdBusoA,spotify:track:7eTv2OTr3aY5iKtFdBusoA,0.825,0.779,1,-3.366,0.306,0.146,0.0,0.0989,0.654,171.926,4
GUCCI LOS PAÑOS,3CNbrXrUrEARw8zeKNCdYo,186.453,75,https://open.spotify.com/track/3CNbrXrUrEARw8zeKNCdYo,spotify:track:3CNbrXrUrEARw8zeKNCdYo,0.45,0.791,2,-3.001,0.0393,0.542,0.0,0.185,0.87,157.953,3
TQG,0DWdj2oZMBFSzRsi2Cvfzf,197.933,89,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,0.63,0.72,4,-3.547,0.277,0.673,0.0,0.0936,0.607,179.974,4
TUS GAFITAS,3gOI5aQD4mOMLsP3aWrkon,167.786,73,https://open.spotify.com/track/3gOI5aQD4mOMLsP3aWrkon,spotify:track:3gOI5aQD4mOMLsP3aWrkon,0.696,0.821,8,-5.796,0.043,0.315,1.07e-05,0.157,0.566,122.005,4
OJOS FERRARI,5yAIrkplUEpMNeojW8Q30o,180.04,71,https://open.spotify.com/track/5yAIrkplUEpMNeojW8Q30o,spotify:track:5yAIrkplUEpMNeojW8Q30o,0.707,0.9,1,-2.792,0.0934,0.161,4.25e-05,0.176,0.634,124.042,4
MERCURIO,6KCvMsAiL6WseKEFsWoPgc,160.426,68,https://open.spotify.com/track/6KCvMsAiL6WseKEFsWoPgc,spotify:track:6KCvMsAiL6WseKEFsWoPgc,0.67,0.879,11,-4.55,0.0975,0.526,0.0,0.123,0.62,139.996,4
GATÚBELA,6Vn1vje8yMw2OY6IOk9dkH,208.013,74,https://open.spotify.com/track/6Vn1vje8yMw2OY6IOk9dkH,spotify:track:6Vn1vje8yMw2OY6IOk9dkH,0.859,0.853,11,-2.68,0.306,0.257,0.0,0.172,0.325,95.131,4
