track_name,track_id,track_duration,track_popularity,track_url,track_uri,track_danceability,track_energy,track_key,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature
PLAYA SATURNO INTRO,2M3GwgWQ2Z0swHkap5gWCm,75.415,60,https://open.spotify.com/track/2M3GwgWQ2Z0swHkap5gWCm,spotify:track:2M3GwgWQ2Z0swHkap5gWCm,0.322,0.53,1,-10.105,0.0532,0.869,1.69e-05,0.355,0.608,85.757,4
CUANDO BAJE EL SOL,4OVHxReloGwGriqVFF2M79,166.739,70,https://open.spotify.com/track/4OVHxReloGwGriqVFF2M79,spotify:track:4OVHxReloGwGriqVFF2M79,0.756,0.794,9,-2.4,0.0641,0.327,0.0,0.334,0.568,99.977,4
AL CALLAO',110wwp2SRousmXjvx8zIoI,242.819,78,https://open.spotify.com/track/110wwp2SRousmXjvx8zIoI,spotify:track:110wwp2SRousmXjvx8zIoI,0.682,0.688,11,-3.836,0.247,0.284,1.67e-06,0.11,0.709,104.992,4
CUKI,3tYDYSZU2Wn7zudbFEJeko,165.714,67,https://open.spotify.com/track/3tYDYSZU2Wn7zudbFEJeko,spotify:track:3tYDYSZU2Wn7zudbFEJeko,0.809,0.767,8,-4.155,0.0439,0.057,0.00028,0.142,0.415,99.969,4
NO ME LA MOLESTE,2BuCjLttbLSiPx8sJKBt9b,221.607,65,https://open.spotify.com/track/2BuCjLttbLSiPx8sJKBt9b,spotify:track:2BuCjLttbLSiPx8sJKBt9b,0.821,0.813,1,-2.871,0.0851,0.444,0.00455,0.137,0.847,91.009,4
PICARDÍA,05OnZaYopHpb0z7ktT2FIF,215.172,77,https://open.spotify.com/track/05OnZaYopHpb0z7ktT2FIF,spotify:track:05OnZaYopHpb0z7ktT2FIF,0.655,0.617,2,-3.616,0.17,0.0934,6.17e-06,0.487,0.626,173.891,4
PONTE NASTY,1cNJ9ODOJF8b6AjhzoYdkv,242.908,66,https://open.spotify.com/track/1cNJ9ODOJF8b6AjhzoYdkv,spotify:track:1cNJ9ODOJF8b6AjhzoYdkv,0.866,0.511,7,-2.941,0.33,0.241,0.0,0.128,0.582,90.85,4
INQUIETO,4TL3dMZzEQZxVyZTfeRlav,222.0,65,https://open.spotify.com/track/4TL3dMZzEQZxVyZTfeRlav,spotify:track:4TL3dMZzEQZxVyZTfeRlav,0.644,0.798,1,-3.823,0.147,0.27,7.05e-05,0.0914,0.693,89.013,4
HOY AQUÍ,2jMt8GoQ4RGxAIMvWJyWeL,187.826,71,https://open.spotify.com/track/2jMt8GoQ4RGxAIMvWJyWeL,spotify:track:2jMt8GoQ4RGxAIMvWJyWeL,0.776,0.758,3,-2.224,0.0745,0.589,1.32e-06,0.12,0.532,91.936,4
CELEBRANDO,4KrNCWx08dZr11kGIUHuuX,207.15,68,https://open.spotify.com/track/4KrNCWx08dZr11kGIUHuuX,spotify:track:4KrNCWx08dZr11kGIUHuuX,0.825,0.82,4,-1.932,0.0673,0.127,0.000335,0.465,0.296,100.057,4
